apple,apricot,avocado,banana,bilberry,blackberry,blackcurrant,blueberry,boysenberry,currant,cherry,cherimoya,cloudberry,coconut,cranberry,cucumber,damson,dragonfruit,durian,elderberry,feijoa,fig,gooseberry,grape,raisin,grapefruit,guava,honeyberry,huckleberry,jabuticaba,jackfruit,jambul,jujube,kiwano,kiwifruit,kumquat,lemon,lime,loquat,longan,lychee,mango,mangosteen,marionberry,melon,cantaloupe,honeydew,watermelon,mulberry,nectarine,nance,olive,orange,clementine,mandarine,tangerine,papaya,peach
0.1388,0.50954,0.95909,0.54654,0.22977,0.26129,0.49621,0.50971,0.30576,0.45497,0.32793,0.036505,-0.10438,0.91924,0.65017,0.66828,0.65833,0.14991,0.83964,0.33022,-0.29098,0.031543,0.15786,0.1751,0.43767,0.64022,0.30805,0.13391,0.60909,-0.40375,0.6333,-0.063697,0.66802,0.36135,0.41048,0.80767,0.67416,0.87441,0.27986,0.54168,0.58728,0.75567,0.78755,-0.16727,0.55428,0.40204,0.55586,0.52727,0.58143,0.16732,-0.086019,0.88913,0.54142,0.5154,0.27224,0.46195,0.43038,0.35966
0.14409,0.069934,-0.38344,0.059856,0.29819,0.3494,0.25453,0.12524,0.23626,0.54519,-0.27107,-0.49597,0.59011,-0.66049,-0.12737,-0.48876,-0.021122,-0.012913,0.32783,-0.1909,-0.45192,-0.23773,-0.33295,-0.38178,-0.044406,-0.13453,0.013792,0.097728,-0.32751,-0.50842,-0.25057,0.27752,0.31111,0.22476,0.087549,0.11201,-0.23676,-0.3638,-0.028413,0.25897,0.043953,-0.11078,-0.028569,-0.42554,0.076309,0.018771,0.038915,-0.58969,0.15133,0.077558,0.013508,0.14952,-0.071188,-0.05131,0.47793,0.21174,0.12474,0.071312
1.1713,0.8241,0.26466,0.52977,0.87466,1.5271,0.36869,0.74394,0.86326,0.8275,0.10681,0.084146,-0.066697,0.5701,0.31533,0.3017,0.86347,0.16154,0.35587,0.46061,-0.2625,0.039393,0.55759,0.53536,0.51525,0.31587,0.091684,0.39054,0.48573,-0.28538,0.391,-0.060993,0.19878,0.38161,0.77792,-0.023641,0.19974,0.61235,0.18895,0.45038,0.58839,0.80419,0.23807,-0.024929,0.094986,0.081884,0.88972,0.18408,0.78913,0.63256,0.046766,0.94356,0.49675,-0.10857,-0.074533,0.17947,0.3673,0.92671
0.048965,0.15855,0.2959,0.085804,0.90659,0.53177,0.30646,0.38269,0.25982,0.55926,0.62085,0.28085,0.32839,0.30697,0.61468,0.47532,0.48277,0.11614,0.31017,0.6703,0.53837,0.32013,0.49231,0.43598,0.10649,0.070585,0.59946,-0.18539,0.74577,-0.039591,0.56253,0.32209,0.16232,-0.59273,0.56215,0.40275,0.010092,-0.1627,0.82571,0.76573,0.36055,0.7456,0.85656,0.58433,-0.34896,0.30846,-0.06756,0.25708,0.50936,0.015445,-0.16847,0.0079005,0.095824,-0.093471,0.2156,0.43936,0.34506,0.26033
0.13893,0.2465,0.22417,0.05135,0.36628,0.44156,0.40273,0.34018,0.26102,0.68072,-0.057738,0.43558,-0.5316,0.37787,0.041334,0.18336,-0.42729,0.3125,0.39856,0.34619,-0.002289,-0.11187,0.48425,0.46171,0.52757,0.32594,0.51736,0.2987,0.96527,0.46117,0.80514,0.99863,0.40898,0.29288,-0.13921,0.4202,0.50291,0.45543,0.49229,0.48114,0.57368,0.46831,0.39184,-0.22673,0.33601,0.22682,-0.11118,0.28357,-0.40068,0.14165,0.47276,0.55831,0.27545,-0.1451,0.23129,0.30564,0.46448,-0.041624
0.64779,-0.24204,-0.75658,0.052315,0.12266,0.1526,0.08964,0.19601,0.34613,-0.16488,-0.02136,0.17319,0.33467,-0.21616,0.12901,-0.95628,0.07272,0.37659,0.43198,-0.0059968,0.017669,-0.16918,-0.527,0.011447,0.052374,-0.33386,-0.21169,-0.30602,0.21173,0.47309,0.13606,0.14892,-0.40603,-0.1519,-0.30943,-0.054682,-0.12388,0.011994,0.23329,0.5256,-0.10577,-0.33511,0.0058435,-0.1098,-0.32714,-0.13639,-0.12663,-0.12114,0.41969,-0.16574,0.1992,-0.25246,-0.054611,0.23849,-0.20149,0.22144,-0.3433,-0.22375
-0.33843,-0.29278,0.23056,0.17077,0.26359,-0.020101,0.042515,-9.75E-05,0.031218,0.02236,-0.2652,0.18317,-0.51318,-0.32617,-0.44618,-0.15132,-0.015461,-0.10232,0.3799,-0.050988,-0.044117,-0.1364,-0.024573,-0.32311,0.12097,-0.12095,-0.25228,0.53046,0.35284,0.079185,0.40745,0.038689,0.13163,-0.23865,-0.11725,-0.20722,-0.46494,-0.21483,-0.1692,0.35303,-0.22611,-0.47022,0.04291,0.47396,-0.21641,0.28281,-0.72828,0.055986,-0.016655,0.12827,0.38827,0.0049036,0.055323,0.20811,0.010728,0.13246,-0.23503,-0.09751
-0.95807,-0.059742,-1.2773,-0.89627,0.72738,-0.22932,0.48544,-0.32637,-0.22945,0.44232,0.3548,-0.37451,-0.17211,-0.45849,0.56525,-1.1058,0.084935,0.11971,-0.48059,0.67175,-0.4305,-0.17486,-0.15413,-0.37142,-0.2973,-0.24952,-0.50564,0.15259,0.41461,0.122,-0.57417,0.37111,0.36859,-0.46991,-0.39323,-0.16252,-0.37345,-0.50974,0.25958,-0.069005,-0.34161,-0.63861,0.30824,0.33673,-0.8303,-0.57141,-0.51317,-0.69596,0.68868,-0.46038,-0.17798,-0.21461,0.11738,-0.31345,0.6482,-0.28417,-0.51296,-0.45537
-0.40856,0.16947,0.58525,0.15402,-0.11522,0.12844,0.12936,0.0923,0.36743,0.30852,-0.045616,-0.43647,-0.64322,0.5742,0.13684,-0.16273,0.075117,-0.40652,-0.1913,0.045354,-0.22043,0.070702,0.06555,-0.34677,-0.34821,-0.4427,-0.39153,-0.22562,0.29094,-0.40008,0.083385,0.099756,-0.020942,-0.37129,-0.27892,-0.53784,-0.013634,-0.33837,-0.27533,-0.2321,-0.29684,0.18555,-0.024471,-0.17421,-0.14999,-0.28414,-0.21355,-0.3488,0.040697,0.058725,0.19259,0.73088,-0.495,-0.35724,-0.56674,-0.24776,-0.22304,-0.077298
-0.21419,-0.38271,-0.12604,-0.14803,0.13883,-0.38469,-0.020906,-0.15268,-0.080121,-0.13634,-0.045664,-0.30651,0.23169,0.0015176,0.33836,0.77766,-0.30014,-0.33074,-0.27937,-0.06745,-0.59365,-0.31728,-0.56025,-0.33447,0.4064,-0.02226,0.13259,-0.035258,-0.18186,-0.12053,-0.32035,0.58196,-0.27046,0.27433,-0.46642,0.24219,0.029289,0.21287,-0.28686,-0.05976,0.012261,-0.13479,0.38901,-0.29458,-0.11003,0.20374,0.15197,0.27138,-0.65693,-0.42574,-0.33223,-0.11214,-0.1364,0.4428,0.049669,0.1713,-0.0083618,-0.40308
-0.016075,-0.22493,0.55592,-0.032645,-0.054078,0.35759,0.39463,0.15339,0.13637,-0.21975,-0.59042,-0.50005,0.24416,-0.018432,0.16656,0.94997,0.32151,0.094319,0.40105,0.23012,-0.29105,0.31178,0.12344,0.17555,-0.17612,0.011783,-0.29912,-0.025003,0.39982,-0.34338,-0.052597,0.090125,-0.15154,0.28381,0.25865,0.31969,0.29921,0.25419,-0.10952,-0.25476,0.1027,-0.11908,0.18369,-0.050259,0.65167,0.23695,0.261,0.20341,-0.79021,-0.37603,0.25523,0.40424,-0.27579,0.13631,0.20316,-0.1957,0.33857,-0.016478
-0.076561,0.6633,-0.026474,-0.1329,-0.42996,-0.15434,0.2634,-0.24081,0.33972,-0.12293,0.080342,0.084446,-0.39084,-0.54932,-0.18261,-0.3183,0.65779,-0.12655,-0.099634,-0.5682,-0.51622,-0.050317,-0.43012,0.4031,-0.061665,-0.52494,-0.24504,0.17022,-0.0050069,-0.19723,0.0069021,0.48421,0.084758,-0.82198,0.12939,-0.19558,0.13807,0.15629,-0.49646,0.0058402,0.12662,-0.52395,-0.085575,0.1826,-0.58369,0.21646,-0.33347,-0.11722,-0.17853,0.33226,0.27995,0.29647,0.046271,0.41385,-0.54882,-0.14459,-0.30632,0.43351
0.33122,0.50473,0.63614,0.40454,0.43657,0.61984,0.65993,0.54856,0.16679,0.63399,0.619,0.50635,0.37365,0.37596,0.7142,0.60085,0.47998,0.55665,0.72353,0.29475,0.5244,0.46267,0.14253,0.097147,0.56792,0.47439,0.52591,0.34799,0.15983,0.37438,0.3582,0.67112,0.21284,0.046185,0.57619,-0.0078538,0.25559,-0.030308,0.22278,0.2337,0.39734,0.30498,0.25989,0.51116,0.52949,0.50157,0.23143,0.24511,-0.12797,0.44298,-0.010641,0.44675,0.48161,0.09237,0.52951,0.18978,0.036951,0.44375
0.33747,-0.13875,0.075969,0.090876,0.4951,0.051398,0.10411,0.083784,0.054132,-0.21958,0.26279,0.17582,-0.2519,-0.14754,-0.22103,0.20231,0.05102,-0.056121,0.14386,0.12348,0.51834,0.50378,-0.011722,0.10368,-0.065738,0.28849,0.085408,-0.13656,0.19256,0.055474,0.18441,-0.18825,0.0068707,0.24157,0.076816,0.03225,0.18806,-0.24345,-0.032956,-0.20309,0.0046381,0.14259,0.37961,-0.12883,-0.33036,-0.39722,-0.20713,-0.24144,0.68564,-0.04112,0.52784,0.011089,0.0088729,0.13586,0.26032,0.13147,0.14293,-0.0033636
0.088585,-0.032963,-0.28474,0.30652,-0.30575,0.35274,-0.23122,-0.28013,0.065244,-0.40613,-0.1562,-0.067675,0.1244,0.42917,-0.12823,-0.28181,-0.094211,-0.088925,-0.54533,-0.51826,0.11748,-0.029232,0.18538,-0.32054,-0.099739,0.29879,0.24663,0.041971,0.060441,-0.057109,-0.29983,-0.19718,-0.51704,-0.18855,-0.71532,0.015157,0.43094,0.20987,-0.59428,-0.10522,-0.58035,-0.081063,-0.28885,-0.20754,0.036553,-0.16743,0.13117,-0.26314,-0.26903,0.074516,0.029396,-0.10824,0.45272,0.165,0.13104,0.40915,-0.090738,-0.046933
-0.22473,-0.57429,-0.52006,-0.45298,-0.30113,0.0071967,-0.15492,-0.12996,0.21727,0.1285,0.24181,-0.12355,-0.21307,-0.80963,-0.016899,-0.88772,-0.19754,-0.23822,-0.83989,-0.33738,-0.13141,-0.48763,-0.59618,-0.11053,-0.295,-0.46625,-0.59866,0.16372,-0.081245,0.28695,-0.58803,0.47157,-0.62499,-0.38944,-0.44135,0.015244,0.12893,-0.2017,-0.61498,-0.74058,-0.48466,-0.73407,-0.22956,0.23344,-0.69788,-0.74222,-1.0844,-0.55496,-0.60531,-0.90838,-0.10746,-0.25617,0.083029,-0.94714,-0.31765,-0.43607,-0.67198,-0.31335
0.30696,0.193,-0.084755,0.25621,-0.29491,-0.2554,-0.49631,-0.25407,-0.37252,-0.14819,-0.096513,0.087072,-3.56E-06,0.23671,0.39569,0.064288,0.067513,-0.020447,-0.12705,-0.40158,-0.27851,0.20035,0.23144,0.14963,-0.068966,0.073029,0.05177,-0.14091,-0.011663,-0.0081995,0.021797,-0.62413,0.11864,-0.39696,-0.33179,0.27519,-0.25024,0.47849,0.097383,0.37227,-0.16955,0.32254,-0.42176,0.35679,-0.0041643,-0.091623,-0.52095,-0.03929,0.038353,-0.19457,0.25513,-0.04508,-0.10946,0.055458,0.24761,0.56279,0.11494,0.012965
0.21283,0.45758,0.11596,-0.32628,-0.12804,0.14655,0.1193,0.4114,0.11242,-0.077231,-0.039712,0.40614,0.46283,-0.31851,0.54329,0.018338,0.73498,0.38382,0.29715,-0.078411,-0.13939,0.27675,-0.066381,0.24595,0.11296,-0.042284,-0.24436,0.19082,-0.061786,-0.050659,-0.49826,-0.3707,0.26854,0.36576,0.2829,0.18323,0.15123,0.32839,-0.40926,-0.21823,-0.0061558,-0.27154,-0.45786,0.46778,0.14519,-0.18838,0.11682,0.11548,1.0959,0.65472,-0.030682,0.28548,0.14538,-0.042185,0.14748,0.49638,-0.030482,0.65749
-0.044287,0.19165,0.2253,-0.1134,0.29345,-0.19574,-0.18041,-0.15076,0.043807,-0.19321,0.16351,0.09726,-0.16486,0.099991,-0.042454,0.1321,0.3654,-0.02547,0.52298,0.12683,0.034516,-0.19878,0.45043,0.071128,0.20572,0.3522,0.15765,-0.23753,0.51315,0.050667,-0.35994,0.056435,0.53958,-0.24705,0.54144,0.24358,0.20176,0.49799,0.22571,0.097235,0.24349,0.013248,-0.34774,0.01064,0.045407,0.17159,-0.036364,0.27114,-0.18446,-0.39929,0.16612,-0.19383,0.15769,7.20E-05,0.57073,0.2652,0.32694,-0.15824
0.27682,-0.2208,-0.36257,0.137,0.51879,0.43283,0.41759,0.19529,0.48549,0.008576,-0.19979,0.39812,0.25263,-0.21587,-0.53377,-0.2413,-0.3533,0.77246,-0.026751,0.50351,0.24303,-0.045261,0.20872,0.27078,-0.74413,0.13959,0.18598,0.085221,-0.54523,0.0081515,-0.13181,0.47045,-0.21361,-0.1067,0.15879,0.080641,-0.037149,0.11006,0.25951,-0.23839,-0.034442,0.0006694,-0.34387,-0.15641,-0.39054,-0.4488,-0.3403,0.42504,0.23687,0.27198,-0.26467,-0.28898,-0.40389,0.39517,-0.058316,0.37192,-0.16047,-0.027413
0.34483,0.95567,0.901,1.0981,-0.23855,0.46744,0.25091,0.65775,0.07908,0.4252,1.0232,0.15953,-0.092776,1.4636,0.52254,0.96111,0.2625,0.26683,-0.24566,-0.38557,0.30329,0.46692,0.34138,-0.1296,0.2829,0.67235,0.64178,0.29781,-0.24823,0.14828,0.29029,-0.23069,0.080817,0.038847,-0.61109,0.0040566,1.1187,1.0698,-0.18222,0.089482,0.48838,0.86175,-0.23808,0.0080474,0.71014,0.32188,0.2117,0.44278,0.48193,0.28285,0.13739,0.67266,0.61154,0.42416,0.061949,1.1136,0.71543,0.76557
0.17744,0.15512,-0.067792,0.45139,0.69716,0.74533,0.52067,0.39823,0.43628,0.14704,0.68816,0.35459,0.43853,-0.033804,0.05787,0.14033,-0.021917,0.1747,1.226,-0.22591,-0.14086,0.20512,-0.049015,0.33288,-0.19841,0.74239,0.23791,-0.16239,0.058262,0.22956,0.37208,0.37488,0.9222,0.070402,0.62753,0.10496,0.29662,0.15,-0.17463,0.54493,0.72203,0.64384,0.29689,0.30868,0.52013,0.83141,0.18029,0.75948,0.48156,0.28097,-0.63653,-0.072172,0.1493,0.54394,0.0017925,0.070962,0.28194,0.071088
0.25515,0.55077,0.078913,0.19414,0.056631,0.49016,0.053981,0.22651,0.62322,0.29395,0.19017,0.45512,-0.1324,-0.022121,0.36247,-0.22106,0.10313,0.039376,0.46311,0.70165,-0.42677,-0.31373,-0.023208,-0.28602,0.64378,0.29406,0.23914,-0.19676,-0.42016,-0.23473,0.086119,0.38607,0.19577,0.34398,-0.67551,-0.03193,-0.073992,-0.40157,0.49264,-0.40538,0.32172,0.231,0.45757,-0.1593,0.15469,-0.11626,0.24182,0.0050724,0.58648,0.25856,0.30587,-0.43897,-0.35921,0.014576,0.17471,0.28124,0.34525,0.44913
-0.12366,0.28508,0.8231,0.11479,-0.65971,-0.15246,-0.1526,0.014544,-0.080105,-0.38201,0.047422,-0.043438,0.15048,0.14452,0.26895,0.32387,-0.31065,0.23988,-0.52026,-0.89747,-0.48334,0.34339,0.082616,-0.01535,-0.097998,0.48023,0.04261,-0.24875,0.28217,0.041212,-0.28295,-0.086733,-0.74929,-0.16104,0.55065,0.43555,0.36664,0.567,0.19516,0.32764,0.35998,0.42054,-0.29804,-0.31795,0.39026,0.3355,0.15681,0.076345,0.20392,0.24956,-0.2958,0.49223,0.0091824,0.47784,-0.74264,0.37598,0.27846,0.36642
0.33049,0.41646,0.41335,0.21194,0.40692,0.71249,0.45577,0.53037,0.41393,0.32019,0.38951,0.14497,0.52119,0.57839,0.90223,-0.040692,-0.29589,0.10185,0.035825,0.30924,0.54365,0.51824,0.36391,0.4297,0.19885,0.76732,0.38413,-0.14073,-0.4943,-0.054966,0.36193,-0.055345,0.21745,-0.021416,0.49106,0.78525,0.97125,0.8575,0.47798,0.24431,0.3813,0.34684,0.33174,-0.088991,-0.0073605,0.3635,-0.045957,0.32331,-0.10601,0.33461,-0.1832,0.95849,0.82973,0.20995,0.6659,0.60262,0.27475,0.35466
0.49068,0.44162,0.38885,0.26814,-0.18879,-0.6431,-0.13292,0.30828,0.12648,0.16989,0.26712,0.31862,-0.5893,0.49608,0.15931,0.052362,-0.33433,0.30037,1.2237,-0.067885,-0.058672,0.58092,0.34496,0.15165,0.49427,0.50456,0.097276,0.15271,0.1341,0.28743,0.25955,-0.27437,0.42829,0.16533,0.14457,0.30615,0.62137,0.23687,0.31396,0.17344,0.31291,0.405,0.59094,-0.28188,0.047438,-0.099635,-0.071418,0.4083,0.8564,0.01644,-0.38341,0.50167,0.32319,0.37154,0.22667,0.34752,-0.15346,0.20813
-0.17067,-0.047553,-0.47404,0.22532,-0.33129,0.17813,-0.12214,0.13869,-0.63668,-0.12883,0.17614,0.068046,-0.029506,0.25172,0.32083,-0.44681,0.041494,-0.30463,0.12457,-0.19976,0.11428,-0.23889,0.14923,0.26723,0.26824,0.12171,0.19205,0.067439,0.37524,-0.18308,-0.36998,0.2465,-0.18994,-0.23405,0.28137,0.27728,0.32871,0.08478,0.060829,0.27031,-0.034218,0.13243,0.93407,-0.27761,-0.19392,-0.61759,-0.22131,-0.38471,-0.28694,-0.12103,-0.22509,-0.36254,0.29884,0.41355,0.66466,0.078268,-0.16284,0.57241
0.37546,0.15843,0.25371,0.16559,-0.36598,-0.45968,0.24584,0.26102,0.065984,-0.0089916,0.45322,-0.49789,0.19464,-0.29808,0.42689,0.029316,0.39909,0.095509,-0.84227,-0.23266,0.70114,0.10115,0.21452,0.33725,0.30526,0.027697,-0.23626,0.10088,-0.059789,0.085675,-0.11014,0.008478,-0.04917,0.67332,-0.14726,0.10014,-0.056141,0.0075972,0.11717,-0.31321,-0.44913,-0.27667,-0.20163,0.026841,0.48231,0.12098,-0.075777,0.093992,0.32629,0.049825,-0.095986,0.41337,0.29326,0.17752,0.14529,0.28671,-0.40587,0.22467
0.21535,0.40637,0.28286,-0.12928,0.36399,0.16489,0.096217,0.25146,-0.036077,0.02618,-0.29019,-0.33299,-0.051089,0.26823,0.025405,-0.12409,0.22162,0.39452,-0.16496,0.50304,-0.41191,-0.031306,0.12963,0.15641,0.14082,-0.30482,-0.25258,0.31338,-0.15821,0.27174,-0.4384,-0.002695,0.044567,-0.017388,0.20372,0.074806,0.098884,0.071411,0.32552,-0.0881,-0.09003,-0.099242,0.43567,-0.45935,-0.13488,-0.060893,0.011234,0.14321,0.51084,-0.047267,-0.21791,0.2039,0.39601,0.1883,-0.38822,0.48006,0.18256,-0.18678
0.35561,0.11801,0.24432,0.88174,-0.23871,0.41384,-0.53633,0.40413,0.1873,0.091121,0.5908,-0.029402,-0.7011,0.58292,-0.12767,0.34922,-0.034262,0.0072678,0.10168,-0.4838,0.43439,0.26768,-0.074754,0.17145,0.43038,0.20581,0.23576,0.085476,0.35178,0.10893,0.47744,0.15181,0.58074,0.33021,-0.033312,0.1504,0.075353,-0.23961,0.36074,0.24115,-0.098219,0.25946,-0.059622,0.28024,0.10204,0.26987,-0.05398,-0.093236,-0.32517,0.19972,-0.34988,-0.25561,-0.42261,-0.024655,0.26277,-0.065227,0.47582,-0.068477
0.066888,0.13649,0.1664,0.12561,-0.18112,0.70024,-0.22996,-0.32825,0.081223,0.03289,-0.11007,-0.0665,0.36887,0.061203,0.028041,0.30923,-0.16395,-0.24006,0.08726,-0.45655,0.29576,-0.42159,-0.19888,-0.12433,0.20455,-0.20811,0.035856,-0.15015,0.41955,-0.055861,0.17377,0.17738,-0.16016,0.32321,0.19998,0.14103,0.36787,0.096601,0.089881,-0.42895,-0.34117,0.21104,0.10102,0.16799,0.31711,-0.11213,0.38109,0.024492,-0.54923,0.27065,-0.099989,0.13638,0.43494,-0.1517,0.26628,0.26614,0.098563,0.22011
-0.84134,-0.42127,-0.14287,0.30594,0.40732,-0.86729,-0.30959,-0.07344,0.063383,-0.58558,0.12716,-0.11497,-0.17622,-0.44179,-0.668,-0.83572,-0.26173,0.76844,0.30343,-0.057041,0.58439,-0.096875,-0.39312,-0.44732,-0.42786,-0.33975,0.13598,0.037268,0.23132,0.53597,0.38878,0.2378,0.27151,-0.20921,0.62418,-0.50377,-0.1922,-0.031605,-0.25984,0.44705,-0.041452,-0.079283,-0.24915,0.23213,-0.33105,0.18094,-0.031402,0.072198,0.080065,-0.14759,0.13613,-0.38385,-0.10059,0.18735,0.078648,-0.11628,0.30531,-0.19149
